nohup: ignoring input
corn3 2017 7
corn3 2017 8
corn3 2017 9
corn3 2017 10
corn3 2017 11
corn3 2017 12
corn4 2017 1
corn4 2017 2
corn4 2017 3
corn4 2017 4
corn4 2017 5
corn4 2017 6
corn4 2017 7
corn4 2017 8
corn4 2017 9
corn4 2017 10
corn4 2017 11
corn4 2017 12
corn5 2017 1
corn5 2017 2
corn5 2017 3
corn5 2017 4
corn5 2017 5
corn5 2017 6
corn5 2017 7
corn5 2017 8
corn5 2017 9
corn5 2017 10
corn5 2017 11
corn5 2017 12
corn6 2017 1
corn6 2017 2
corn6 2017 3
corn6 2017 4
corn6 2017 5
corn6 2017 6
corn6 2017 7
corn6 2017 8
corn6 2017 9
corn6 2017 10
corn6 2017 11
corn6 2017 12
corn7 2017 1
corn7 2017 2
corn7 2017 3
corn7 2017 4
corn7 2017 5
corn7 2017 6
corn7 2017 7
corn7 2017 8
corn7 2017 9
corn7 2017 10
corn7 2017 11
corn7 2017 12
corn8 2017 1
corn8 2017 2
corn8 2017 3
corn8 2017 4
corn8 2017 5
corn8 2017 6
corn8 2017 7
corn8 2017 8
corn8 2017 9
corn8 2017 10
corn8 2017 11
corn8 2017 12
corn9 2017 1
corn9 2017 2
corn9 2017 3
corn9 2017 4
corn9 2017 5
corn9 2017 6
corn9 2017 7
corn9 2017 8
corn9 2017 9
corn9 2017 10
corn9 2017 11
corn9 2017 12
corn10 2017 1
corn10 2017 2
corn10 2017 3
corn10 2017 4
corn10 2017 5
corn10 2017 6
corn10 2017 7
corn10 2017 8
corn10 2017 9
corn10 2017 10
corn10 2017 11
corn10 2017 12
corn11 2017 1
corn11 2017 2
corn11 2017 3
corn11 2017 4
corn11 2017 5
corn11 2017 6
corn11 2017 7
corn11 2017 8
corn11 2017 9
corn11 2017 10
corn11 2017 11
corn11 2017 12
corn12 2017 1
corn12 2017 2
corn12 2017 3
corn12 2017 4
corn12 2017 5
corn12 2017 6
corn12 2017 7
corn12 2017 8
corn12 2017 9
corn12 2017 10
corn12 2017 11
corn12 2017 12
south1 2017 1
south1 2017 2
south1 2017 3
south1 2017 4
south1 2017 5
south1 2017 6
south1 2017 7
south1 2017 8
south1 2017 9
south1 2017 10
south1 2017 11
south1 2017 12
south2 2017 1
south2 2017 2
south2 2017 3
south2 2017 4
south2 2017 5
south2 2017 6
south2 2017 7
south2 2017 8
south2 2017 9
south2 2017 10
south2 2017 11
south2 2017 12
south3 2017 1
south3 2017 2
south3 2017 3
south3 2017 4
south3 2017 5
south3 2017 6
south3 2017 7
south3 2017 8
south3 2017 9
south3 2017 10
south3 2017 11
south3 2017 12
south4 2017 1
south4 2017 2
south4 2017 3
south4 2017 4
south4 2017 5
south4 2017 6
south4 2017 7
south4 2017 8
south4 2017 9
south4 2017 10
south4 2017 11
south4 2017 12
south5 2017 1
south5 2017 2
south5 2017 3
south5 2017 4
south5 2017 5
south5 2017 6
