nohup: ignoring input
south5 2017 7
south5 2017 8
south5 2017 9
south5 2017 10
south5 2017 11
south5 2017 12
south6 2017 1
south6 2017 2
south6 2017 3
south6 2017 4
south6 2017 5
south6 2017 6
south6 2017 7
south6 2017 8
south6 2017 9
south6 2017 10
south6 2017 11
south6 2017 12
south7 2017 1
south7 2017 2
south7 2017 3
south7 2017 4
south7 2017 5
south7 2017 6
south7 2017 7
south7 2017 8
south7 2017 9
south7 2017 10
south7 2017 11
south7 2017 12
south8 2017 1
south8 2017 2
south8 2017 3
south8 2017 4
south8 2017 5
south8 2017 6
south8 2017 7
south8 2017 8
south8 2017 9
south8 2017 10
south8 2017 11
south8 2017 12
south9 2017 1
south9 2017 2
south9 2017 3
south9 2017 4
south9 2017 5
south9 2017 6
south9 2017 7
south9 2017 8
south9 2017 9
south9 2017 10
south9 2017 11
south9 2017 12
south10 2017 1
south10 2017 2
south10 2017 3
south10 2017 4
south10 2017 5
south10 2017 6
south10 2017 7
south10 2017 8
south10 2017 9
south10 2017 10
south10 2017 11
south10 2017 12
cali1 2014 1
cali1 2014 2
cali1 2014 3
cali1 2014 4
cali1 2014 5
cali1 2014 6
cali1 2014 7
cali1 2014 8
cali1 2014 9
cali1 2014 10
cali1 2014 11
cali1 2014 12
cali2 2014 1
cali2 2014 2
cali2 2014 3
cali2 2014 4
cali2 2014 5
cali2 2014 6
cali2 2014 7
cali2 2014 8
cali2 2014 9
cali2 2014 10
cali2 2014 11
cali2 2014 12
cali3 2014 1
cali3 2014 2
cali3 2014 3
cali3 2014 4
cali3 2014 5
cali3 2014 6
cali3 2014 7
cali3 2014 8
cali3 2014 9
cali3 2014 10
cali3 2014 11
cali3 2014 12
cali4 2014 1
cali4 2014 2
cali4 2014 3
cali4 2014 4
cali4 2014 5
cali4 2014 6
cali4 2014 7
cali4 2014 8
cali4 2014 9
cali4 2014 10
cali4 2014 11
cali4 2014 12
cali5 2014 1
cali5 2014 2
cali5 2014 3
cali5 2014 4
cali5 2014 5
cali5 2014 6
cali5 2014 7
cali5 2014 8
cali5 2014 9
cali5 2014 10
cali5 2014 11
cali5 2014 12
cali6 2014 1
cali6 2014 2
cali6 2014 3
cali6 2014 4
cali6 2014 5
cali6 2014 6
cali6 2014 7
cali6 2014 8
cali6 2014 9
cali6 2014 10
cali6 2014 11
cali6 2014 12
cali7 2014 1
cali7 2014 2
cali7 2014 3
cali7 2014 4
cali7 2014 5
cali7 2014 6
cali7 2014 7
cali7 2014 8
cali7 2014 9
cali7 2014 10
cali7 2014 11
cali7 2014 12
cali8 2014 1
cali8 2014 2
cali8 2014 3
cali8 2014 4
cali8 2014 5
cali8 2014 6
cali8 2014 7
cali8 2014 8
cali8 2014 9
cali8 2014 10
cali8 2014 11
cali8 2014 12
cali9 2014 1
cali9 2014 2
cali9 2014 3
cali9 2014 4
cali9 2014 5
cali9 2014 6
cali9 2014 7
cali9 2014 8
cali9 2014 9
cali9 2014 10
cali9 2014 11
cali9 2014 12
cali10 2014 1
cali10 2014 2
cali10 2014 3
cali10 2014 4
cali10 2014 5
cali10 2014 6
cali10 2014 7
cali10 2014 8
cali10 2014 9
cali10 2014 10
cali10 2014 11
cali10 2014 12
cali11 2014 1
cali11 2014 2
cali11 2014 3
cali11 2014 4
cali11 2014 5
cali11 2014 6
cali11 2014 7
cali11 2014 8
cali11 2014 9
cali11 2014 10
cali11 2014 11
cali11 2014 12
cali12 2014 1
cali12 2014 2
cali12 2014 3
cali12 2014 4
cali12 2014 5
cali12 2014 6
cali12 2014 7
cali12 2014 8
cali12 2014 9
cali12 2014 10
cali12 2014 11
cali12 2014 12
wash1 2014 1
wash1 2014 2
wash1 2014 3
wash1 2014 4
wash1 2014 5
wash1 2014 6
wash1 2014 7
wash1 2014 8
wash1 2014 9
wash1 2014 10
wash1 2014 11
wash1 2014 12
wash2 2014 1
wash2 2014 2
wash2 2014 3
wash2 2014 4
wash2 2014 5
wash2 2014 6
wash2 2014 7
wash2 2014 8
wash2 2014 9
wash2 2014 10
wash2 2014 11
wash2 2014 12
wash3 2014 1
wash3 2014 2
wash3 2014 3
wash3 2014 4
wash3 2014 5
wash3 2014 6
wash3 2014 7
wash3 2014 8
wash3 2014 9
wash3 2014 10
wash3 2014 11
wash3 2014 12
wash4 2014 1
wash4 2014 2
wash4 2014 3
wash4 2014 4
wash4 2014 5
wash4 2014 6
wash4 2014 7
wash4 2014 8
wash4 2014 9
wash4 2014 10
wash4 2014 11
wash4 2014 12
wash5 2014 1
wash5 2014 2
wash5 2014 3
wash5 2014 4
wash5 2014 5
wash5 2014 6
wash5 2014 7
wash5 2014 8
wash5 2014 9
wash5 2014 10
wash5 2014 11
wash5 2014 12
wash6 2014 1
wash6 2014 2
wash6 2014 3
wash6 2014 4
wash6 2014 5
wash6 2014 6
wash6 2014 7
wash6 2014 8
wash6 2014 9
wash6 2014 10
wash6 2014 11
wash6 2014 12
wash7 2014 1
wash7 2014 2
wash7 2014 3
wash7 2014 4
wash7 2014 5
wash7 2014 6
wash7 2014 7
wash7 2014 8
wash7 2014 9
wash7 2014 10
wash7 2014 11
wash7 2014 12
wash8 2014 1
wash8 2014 2
wash8 2014 3
wash8 2014 4
wash8 2014 5
wash8 2014 6
wash8 2014 7
wash8 2014 8
wash8 2014 9
wash8 2014 10
wash8 2014 11
wash8 2014 12
wash9 2014 1
wash9 2014 2
wash9 2014 3
wash9 2014 4
wash9 2014 5
wash9 2014 6
wash9 2014 7
wash9 2014 8
wash9 2014 9
wash9 2014 10
wash9 2014 11
wash9 2014 12
ny1 2014 1
ny1 2014 2
ny1 2014 3
ny1 2014 4
ny1 2014 5
ny1 2014 6
ny1 2014 7
ny1 2014 8
ny1 2014 9
ny1 2014 10
ny1 2014 11
ny1 2014 12
ny2 2014 1
ny2 2014 2
ny2 2014 3
ny2 2014 4
ny2 2014 5
ny2 2014 6
ny2 2014 7
ny2 2014 8
ny2 2014 9
ny2 2014 10
ny2 2014 11
ny2 2014 12
ny3 2014 1
ny3 2014 2
ny3 2014 3
ny3 2014 4
ny3 2014 5
ny3 2014 6
ny3 2014 7
ny3 2014 8
ny3 2014 9
ny3 2014 10
ny3 2014 11
ny3 2014 12
ny4 2014 1
ny4 2014 2
ny4 2014 3
ny4 2014 4
ny4 2014 5
ny4 2014 6
ny4 2014 7
ny4 2014 8
ny4 2014 9
ny4 2014 10
ny4 2014 11
ny4 2014 12
ny5 2014 1
ny5 2014 2
ny5 2014 3
ny5 2014 4
ny5 2014 5
ny5 2014 6
ny5 2014 7
ny5 2014 8
ny5 2014 9
ny5 2014 10
ny5 2014 11
ny5 2014 12
ny6 2014 1
ny6 2014 2
ny6 2014 3
ny6 2014 4
ny6 2014 5
ny6 2014 6
ny6 2014 7
ny6 2014 8
ny6 2014 9
ny6 2014 10
ny6 2014 11
ny6 2014 12
corn1 2014 1
corn1 2014 2
corn1 2014 3
corn1 2014 4
corn1 2014 5
corn1 2014 6
corn1 2014 7
corn1 2014 8
corn1 2014 9
corn1 2014 10
corn1 2014 11
corn1 2014 12
corn2 2014 1
corn2 2014 2
corn2 2014 3
corn2 2014 4
corn2 2014 5
corn2 2014 6
corn2 2014 7
corn2 2014 8
corn2 2014 9
corn2 2014 10
corn2 2014 11
corn2 2014 12
corn3 2014 1
corn3 2014 2
corn3 2014 3
corn3 2014 4
corn3 2014 5
corn3 2014 6
corn3 2014 7
corn3 2014 8
corn3 2014 9
corn3 2014 10
corn3 2014 11
corn3 2014 12
corn4 2014 1
corn4 2014 2
corn4 2014 3
corn4 2014 4
corn4 2014 5
corn4 2014 6
corn4 2014 7
corn4 2014 8
corn4 2014 9
corn4 2014 10
corn4 2014 11
corn4 2014 12
corn5 2014 1
corn5 2014 2
corn5 2014 3
corn5 2014 4
corn5 2014 5
corn5 2014 6
corn5 2014 7
corn5 2014 8
corn5 2014 9
corn5 2014 10
corn5 2014 11
corn5 2014 12
corn6 2014 1
corn6 2014 2
corn6 2014 3
corn6 2014 4
corn6 2014 5
corn6 2014 6
corn6 2014 7
corn6 2014 8
corn6 2014 9
corn6 2014 10
corn6 2014 11
corn6 2014 12
corn7 2014 1
corn7 2014 2
corn7 2014 3
corn7 2014 4
corn7 2014 5
corn7 2014 6
corn7 2014 7
corn7 2014 8
corn7 2014 9
corn7 2014 10
corn7 2014 11
corn7 2014 12
corn8 2014 1
corn8 2014 2
corn8 2014 3
corn8 2014 4
corn8 2014 5
corn8 2014 6
corn8 2014 7
corn8 2014 8
corn8 2014 9
corn8 2014 10
corn8 2014 11
corn8 2014 12
corn9 2014 1
corn9 2014 2
corn9 2014 3
corn9 2014 4
corn9 2014 5
corn9 2014 6
corn9 2014 7
corn9 2014 8
corn9 2014 9
corn9 2014 10
corn9 2014 11
corn9 2014 12
corn10 2014 1
corn10 2014 2
corn10 2014 3
corn10 2014 4
corn10 2014 5
corn10 2014 6
corn10 2014 7
corn10 2014 8
corn10 2014 9
corn10 2014 10
corn10 2014 11
corn10 2014 12
corn11 2014 1
corn11 2014 2
corn11 2014 3
corn11 2014 4
corn11 2014 5
corn11 2014 6
corn11 2014 7
corn11 2014 8
corn11 2014 9
corn11 2014 10
corn11 2014 11
corn11 2014 12
corn12 2014 1
corn12 2014 2
corn12 2014 3
corn12 2014 4
corn12 2014 5
corn12 2014 6
corn12 2014 7
corn12 2014 8
corn12 2014 9
corn12 2014 10
corn12 2014 11
corn12 2014 12
south1 2014 1
south1 2014 2
south1 2014 3
south1 2014 4
south1 2014 5
south1 2014 6
south1 2014 7
south1 2014 8
south1 2014 9
south1 2014 10
south1 2014 11
south1 2014 12
south2 2014 1
south2 2014 2
south2 2014 3
south2 2014 4
south2 2014 5
south2 2014 6
south2 2014 7
south2 2014 8
south2 2014 9
south2 2014 10
south2 2014 11
south2 2014 12
south3 2014 1
south3 2014 2
south3 2014 3
south3 2014 4
south3 2014 5
south3 2014 6
south3 2014 7
south3 2014 8
south3 2014 9
south3 2014 10
south3 2014 11
south3 2014 12
south4 2014 1
south4 2014 2
south4 2014 3
south4 2014 4
south4 2014 5
south4 2014 6
south4 2014 7
south4 2014 8
south4 2014 9
south4 2014 10
south4 2014 11
south4 2014 12
south5 2014 1
south5 2014 2
south5 2014 3
south5 2014 4
south5 2014 5
south5 2014 6
south5 2014 7
south5 2014 8
south5 2014 9
south5 2014 10
south5 2014 11
south5 2014 12
south6 2014 1
south6 2014 2
south6 2014 3
south6 2014 4
south6 2014 5
south6 2014 6
south6 2014 7
south6 2014 8
south6 2014 9
south6 2014 10
south6 2014 11
south6 2014 12
south7 2014 1
south7 2014 2
south7 2014 3
south7 2014 4
south7 2014 5
south7 2014 6
south7 2014 7
south7 2014 8
south7 2014 9
south7 2014 10
south7 2014 11
south7 2014 12
south8 2014 1
south8 2014 2
south8 2014 3
south8 2014 4
south8 2014 5
south8 2014 6
south8 2014 7
south8 2014 8
south8 2014 9
south8 2014 10
south8 2014 11
south8 2014 12
south9 2014 1
south9 2014 2
south9 2014 3
south9 2014 4
south9 2014 5
south9 2014 6
south9 2014 7
south9 2014 8
south9 2014 9
south9 2014 10
south9 2014 11
south9 2014 12
south10 2014 1
south10 2014 2
south10 2014 3
south10 2014 4
south10 2014 5
south10 2014 6
south10 2014 7
south10 2014 8
south10 2014 9
south10 2014 10
south10 2014 11
south10 2014 12
cali1 2015 1
cali1 2015 2
cali1 2015 3
cali1 2015 4
cali1 2015 5
cali1 2015 6
cali1 2015 7
cali1 2015 8
cali1 2015 9
cali1 2015 10
cali1 2015 11
cali1 2015 12
cali2 2015 1
cali2 2015 2
cali2 2015 3
cali2 2015 4
cali2 2015 5
cali2 2015 6
cali2 2015 7
cali2 2015 8
cali2 2015 9
cali2 2015 10
cali2 2015 11
cali2 2015 12
cali3 2015 1
cali3 2015 2
cali3 2015 3
cali3 2015 4
cali3 2015 5
cali3 2015 6
cali3 2015 7
cali3 2015 8
cali3 2015 9
cali3 2015 10
cali3 2015 11
cali3 2015 12
cali4 2015 1
cali4 2015 2
cali4 2015 3
cali4 2015 4
cali4 2015 5
cali4 2015 6
cali4 2015 7
cali4 2015 8
cali4 2015 9
cali4 2015 10
cali4 2015 11
cali4 2015 12
cali5 2015 1
cali5 2015 2
cali5 2015 3
cali5 2015 4
cali5 2015 5
cali5 2015 6
cali5 2015 7
cali5 2015 8
cali5 2015 9
cali5 2015 10
cali5 2015 11
cali5 2015 12
cali6 2015 1
cali6 2015 2
cali6 2015 3
cali6 2015 4
cali6 2015 5
cali6 2015 6
cali6 2015 7
cali6 2015 8
cali6 2015 9
cali6 2015 10
cali6 2015 11
cali6 2015 12
cali7 2015 1
cali7 2015 2
cali7 2015 3
cali7 2015 4
cali7 2015 5
cali7 2015 6
cali7 2015 7
cali7 2015 8
cali7 2015 9
cali7 2015 10
cali7 2015 11
cali7 2015 12
cali8 2015 1
cali8 2015 2
cali8 2015 3
cali8 2015 4
cali8 2015 5
cali8 2015 6
cali8 2015 7
cali8 2015 8
cali8 2015 9
cali8 2015 10
cali8 2015 11
cali8 2015 12
cali9 2015 1
cali9 2015 2
cali9 2015 3
cali9 2015 4
cali9 2015 5
cali9 2015 6
cali9 2015 7
cali9 2015 8
cali9 2015 9
cali9 2015 10
cali9 2015 11
cali9 2015 12
cali10 2015 1
cali10 2015 2
cali10 2015 3
cali10 2015 4
cali10 2015 5
cali10 2015 6
cali10 2015 7
cali10 2015 8
cali10 2015 9
cali10 2015 10
cali10 2015 11
cali10 2015 12
cali11 2015 1
cali11 2015 2
cali11 2015 3
cali11 2015 4
cali11 2015 5
cali11 2015 6
cali11 2015 7
cali11 2015 8
cali11 2015 9
cali11 2015 10
cali11 2015 11
cali11 2015 12
cali12 2015 1
cali12 2015 2
cali12 2015 3
cali12 2015 4
cali12 2015 5
cali12 2015 6
cali12 2015 7
cali12 2015 8
cali12 2015 9
cali12 2015 10
cali12 2015 11
cali12 2015 12
wash1 2015 1
wash1 2015 2
wash1 2015 3
wash1 2015 4
wash1 2015 5
wash1 2015 6
wash1 2015 7
wash1 2015 8
wash1 2015 9
wash1 2015 10
wash1 2015 11
wash1 2015 12
wash2 2015 1
wash2 2015 2
wash2 2015 3
wash2 2015 4
wash2 2015 5
wash2 2015 6
wash2 2015 7
wash2 2015 8
wash2 2015 9
wash2 2015 10
wash2 2015 11
wash2 2015 12
wash3 2015 1
wash3 2015 2
wash3 2015 3
wash3 2015 4
wash3 2015 5
wash3 2015 6
wash3 2015 7
wash3 2015 8
wash3 2015 9
wash3 2015 10
wash3 2015 11
wash3 2015 12
wash4 2015 1
wash4 2015 2
wash4 2015 3
wash4 2015 4
wash4 2015 5
wash4 2015 6
wash4 2015 7
wash4 2015 8
wash4 2015 9
wash4 2015 10
wash4 2015 11
wash4 2015 12
wash5 2015 1
wash5 2015 2
wash5 2015 3
wash5 2015 4
wash5 2015 5
wash5 2015 6
wash5 2015 7
wash5 2015 8
wash5 2015 9
wash5 2015 10
wash5 2015 11
wash5 2015 12
wash6 2015 1
wash6 2015 2
wash6 2015 3
wash6 2015 4
