nohup: ignoring input
cali9 2016 8
cali9 2016 9
cali9 2016 10
cali9 2016 11
cali9 2016 12
cali10 2016 1
cali10 2016 2
cali10 2016 3
cali10 2016 4
cali10 2016 5
cali10 2016 6
cali10 2016 7
cali10 2016 8
cali10 2016 9
cali10 2016 10
cali10 2016 11
cali10 2016 12
cali11 2016 1
cali11 2016 2
cali11 2016 3
cali11 2016 4
cali11 2016 5
cali11 2016 6
cali11 2016 7
cali11 2016 8
cali11 2016 9
cali11 2016 10
cali11 2016 11
cali11 2016 12
cali12 2016 1
cali12 2016 2
cali12 2016 3
cali12 2016 4
cali12 2016 5
cali12 2016 6
cali12 2016 7
cali12 2016 8
cali12 2016 9
cali12 2016 10
cali12 2016 11
cali12 2016 12
wash1 2016 1
wash1 2016 2
wash1 2016 3
wash1 2016 4
wash1 2016 5
wash1 2016 6
wash1 2016 7
wash1 2016 8
wash1 2016 9
wash1 2016 10
wash1 2016 11
wash1 2016 12
wash2 2016 1
wash2 2016 2
wash2 2016 3
wash2 2016 4
wash2 2016 5
wash2 2016 6
wash2 2016 7
wash2 2016 8
wash2 2016 9
wash2 2016 10
wash2 2016 11
wash2 2016 12
wash3 2016 1
wash3 2016 2
wash3 2016 3
wash3 2016 4
wash3 2016 5
wash3 2016 6
wash3 2016 7
wash3 2016 8
wash3 2016 9
wash3 2016 10
wash3 2016 11
wash3 2016 12
wash4 2016 1
wash4 2016 2
wash4 2016 3
wash4 2016 4
wash4 2016 5
wash4 2016 6
wash4 2016 7
wash4 2016 8
wash4 2016 9
wash4 2016 10
wash4 2016 11
wash4 2016 12
wash5 2016 1
wash5 2016 2
wash5 2016 3
wash5 2016 4
wash5 2016 5
wash5 2016 6
wash5 2016 7
wash5 2016 8
wash5 2016 9
wash5 2016 10
wash5 2016 11
wash5 2016 12
wash6 2016 1
wash6 2016 2
wash6 2016 3
wash6 2016 4
wash6 2016 5
wash6 2016 6
wash6 2016 7
wash6 2016 8
wash6 2016 9
wash6 2016 10
wash6 2016 11
wash6 2016 12
wash7 2016 1
wash7 2016 2
wash7 2016 3
wash7 2016 4
wash7 2016 5
wash7 2016 6
wash7 2016 7
wash7 2016 8
wash7 2016 9
wash7 2016 10
wash7 2016 11
wash7 2016 12
wash8 2016 1
wash8 2016 2
wash8 2016 3
wash8 2016 4
wash8 2016 5
wash8 2016 6
wash8 2016 7
wash8 2016 8
wash8 2016 9
wash8 2016 10
wash8 2016 11
wash8 2016 12
wash9 2016 1
wash9 2016 2
wash9 2016 3
wash9 2016 4
wash9 2016 5
wash9 2016 6
wash9 2016 7
wash9 2016 8
wash9 2016 9
wash9 2016 10
wash9 2016 11
wash9 2016 12
ny1 2016 1
ny1 2016 2
ny1 2016 3
ny1 2016 4
ny1 2016 5
ny1 2016 6
ny1 2016 7
ny1 2016 8
ny1 2016 9
ny1 2016 10
ny1 2016 11
ny1 2016 12
ny2 2016 1
ny2 2016 2
ny2 2016 3
ny2 2016 4
ny2 2016 5
ny2 2016 6
ny2 2016 7
ny2 2016 8
ny2 2016 9
ny2 2016 10
ny2 2016 11
ny2 2016 12
ny3 2016 1
ny3 2016 2
ny3 2016 3
ny3 2016 4
ny3 2016 5
ny3 2016 6
ny3 2016 7
ny3 2016 8
ny3 2016 9
ny3 2016 10
ny3 2016 11
ny3 2016 12
ny4 2016 1
ny4 2016 2
ny4 2016 3
ny4 2016 4
ny4 2016 5
ny4 2016 6
ny4 2016 7
ny4 2016 8
ny4 2016 9
ny4 2016 10
ny4 2016 11
ny4 2016 12
ny5 2016 1
ny5 2016 2
ny5 2016 3
ny5 2016 4
ny5 2016 5
ny5 2016 6
ny5 2016 7
ny5 2016 8
ny5 2016 9
ny5 2016 10
ny5 2016 11
ny5 2016 12
ny6 2016 1
ny6 2016 2
ny6 2016 3
ny6 2016 4
ny6 2016 5
ny6 2016 6
ny6 2016 7
ny6 2016 8
ny6 2016 9
ny6 2016 10
ny6 2016 11
ny6 2016 12
corn1 2016 1
corn1 2016 2
corn1 2016 3
corn1 2016 4
corn1 2016 5
corn1 2016 6
corn1 2016 7
corn1 2016 8
corn1 2016 9
corn1 2016 10
corn1 2016 11
corn1 2016 12
corn2 2016 1
corn2 2016 2
corn2 2016 3
corn2 2016 4
corn2 2016 5
corn2 2016 6
corn2 2016 7
corn2 2016 8
corn2 2016 9
corn2 2016 10
corn2 2016 11
corn2 2016 12
corn3 2016 1
corn3 2016 2
corn3 2016 3
corn3 2016 4
corn3 2016 5
corn3 2016 6
corn3 2016 7
corn3 2016 8
corn3 2016 9
corn3 2016 10
corn3 2016 11
corn3 2016 12
corn4 2016 1
corn4 2016 2
corn4 2016 3
corn4 2016 4
corn4 2016 5
corn4 2016 6
corn4 2016 7
corn4 2016 8
corn4 2016 9
corn4 2016 10
corn4 2016 11
corn4 2016 12
corn5 2016 1
corn5 2016 2
corn5 2016 3
corn5 2016 4
corn5 2016 5
corn5 2016 6
corn5 2016 7
corn5 2016 8
corn5 2016 9
corn5 2016 10
corn5 2016 11
corn5 2016 12
corn6 2016 1
corn6 2016 2
corn6 2016 3
corn6 2016 4
corn6 2016 5
corn6 2016 6
corn6 2016 7
corn6 2016 8
corn6 2016 9
corn6 2016 10
corn6 2016 11
corn6 2016 12
corn7 2016 1
corn7 2016 2
corn7 2016 3
corn7 2016 4
corn7 2016 5
corn7 2016 6
corn7 2016 7
corn7 2016 8
corn7 2016 9
corn7 2016 10
corn7 2016 11
corn7 2016 12
corn8 2016 1
corn8 2016 2
corn8 2016 3
corn8 2016 4
corn8 2016 5
corn8 2016 6
corn8 2016 7
corn8 2016 8
corn8 2016 9
corn8 2016 10
corn8 2016 11
corn8 2016 12
corn9 2016 1
corn9 2016 2
corn9 2016 3
corn9 2016 4
corn9 2016 5
corn9 2016 6
corn9 2016 7
corn9 2016 8
corn9 2016 9
corn9 2016 10
corn9 2016 11
corn9 2016 12
